date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2010-02-08 23:31:19,ccna_ccnp,,0,0,0,"Thorough explanation about understanding why we configure ""clock rate"" on serial interfaces.http://tinyurl.com/yevv47h #knowledge #cisco",,,#knowledge #cisco,8829900246,https://twitter.com/ccna_ccnp/status/8829900246
2010-02-08 23:18:32,sohara,,0,0,0,"Wouldn't it be cool? @retailblog The Future of Shopping - could this really happen?: http://wp.me/pBNvj-15 #retailtrends #fashion #Cisco",,@retailblog,#retailtrends #fashion #Cisco,8829422800,https://twitter.com/sohara/status/8829422800
2010-02-08 23:12:34,btincq,,0,0,0,"Must-Read: Creating Cities From Scratch: Cisco's Big Bet on New Songdo http://bit.ly/6Ya02v /via @fastcompany #greenit #smartcities #cisco",,@fastcompany,#greenit #smartcities #cisco,8829195869,https://twitter.com/btincq/status/8829195869
2010-02-08 23:10:03,retailblog,,0,0,0,"The Future of Shopping - could this really happen?: http://wp.me/pBNvj-15 #retailtrends #fashion #Cisco",,,#retailtrends #fashion #Cisco,8829101166,https://twitter.com/retailblog/status/8829101166
2010-02-08 22:57:35,mreferre,,0,0,0,"RT @stevie_chambers: Do you know that the #Cisco #Nexus product line has Italian heritage? I do. So do the #Catalyst and the #MDS products.",,@stevie_chambers,#Cisco #Nexus #Catalyst #MDS,8828626423,https://twitter.com/mreferre/status/8828626423
2010-02-08 22:27:30,mrmouse79,,0,0,0,"cool: just won $20 gift card for #amazon from #cisco :-) thanks!",,,#amazon #cisco,8827510448,https://twitter.com/mrmouse79/status/8827510448
2010-02-08 21:20:25,CBTNuggets,,0,0,0,"Rt (via @LeahITJobs) - Now hiring a #CCIE Network Engineer in #Atlanta - http://bit.ly/9Yx3Hg #jobs #IT #Cisco DM for details!",,@LeahITJobs,#CCIE #Atlanta #jobs #IT #Cisco,8825102431,https://twitter.com/CBTNuggets/status/8825102431
2010-02-08 21:20:00,CaseyRecruits,,0,0,0,"#Jobs | #NetApp | #Cisco | #LosAngeles | #Remote | Contract | @MTM_Inc | cmanning@mtm.com | Pls RT",,@MTM_Inc @mtm,#Jobs #NetApp #Cisco #LosAngeles #Remote,8825086265,https://twitter.com/CaseyRecruits/status/8825086265
2010-02-08 21:13:03,xDTOx,,0,0,0,"RT @Cisco_Mobile: #Cisco Unites Multiple #DataCenters With #Virtualization http://tinyurl.com/ydw46ls <--AutoBot or Decepticon?? ;)",,@Cisco_Mobile,#Cisco #DataCenters #Virtualization,8824843219,https://twitter.com/xDTOx/status/8824843219
2010-02-08 21:12:27,LeahJArnold,,0,0,0,"Now hiring a #CCIE Network Engineer in #Atlanta - http://bit.ly/9Yx3Hg #jobs #IT #Cisco DM for details!",,,#CCIE #Atlanta #jobs #IT #Cisco,8824821450,https://twitter.com/LeahJArnold/status/8824821450
2010-02-08 21:08:57,Cisco_at_ED,,0,0,0,"RT @CiscoCollab: A new #Cisco Architectures & Solutions Podcast about enhancing Customer Care with #Collaboration http://bit.ly/aAsYK2",,@CiscoCollab,#Cisco #Collaboration,8824700095,https://twitter.com/Cisco_at_ED/status/8824700095
